中央政府以前年度總決算歲入歲出決算審定資料,['13976']
中央政府總決算歲入歲出決算審定資料,['13973']
單位決算,['21363']
單位決算書,"['31245', '43501']"
單位預算案,"['12605', '20931', '55553']"
單位預算案書,['34228']
地方政府以前年度總決算歲入歲出決算審定資料,['13982']
地方政府總決算歲入歲出決算審定資料,['13979']
審計工作概況,['12879']
審計意見,['10312']
審計機關審核各機關決算修正歲入決算通知繳庫數,['77945']
審計機關審核各機關決算修正歲出決算通知剔除減列繳庫數,['77946']
審計機關審核各機關財務不忠不法案件,['77937']
審計機關審核各稽徵機關賦稅捐費依法補徵退還稅款,['80618']
審計機關審核各級政府公有營事業決算修正及審定數額彙總表,['77959']
審計機關審核各級政府公有營事業決算修正情形彙總表,['77965']
審計機關審核各級政府非營業特種基金決算修正及審定數額彙總表,['77947']
審計機關審核各級政府非營業特種基金決算修正情形彙總表,['77953']
審計機關審核政府單位數,['77943']
審計機關監督政府預算數,['77944']
審計機關辦理各機關財務績效審計結果,['77967']
審計機關辦理專案財物稽察,['80746']
審計部單位決算,['19763']
審計部單位預算案,['20864']
審計部新北市審計處單位決算,['19765']
審計部新北市審計處單位預算案,['20866']
審計部新北市審計處會計報告,['19911']
審計部新北市審計處法定預算,['12713']
審計部會計報告,['19909']
審計部桃園市審計處單位決算,['19745']
審計部桃園市審計處單位預算案,['19766']
審計部桃園市審計處會計報告,['19912']
審計部桃園市審計處法定預算,['12714']
審計部法定預算,['12711']
審計部臺中市審計處單位決算,['19767']
審計部臺中市審計處單位預算案,['20867']
審計部臺中市審計處會計報告,['19913']
審計部臺中市審計處法定預算,['12715']
審計部臺北市審計處單位決算,['19764']
審計部臺北市審計處單位預算案,['20865']
審計部臺北市審計處會計報告,['19910']
審計部臺北市審計處法定預算,['12712']
審計部臺南市審計處單位決算,['19768']
審計部臺南市審計處單位預算案,['20868']
審計部臺南市審計處會計報告,['19914']
審計部臺南市審計處法定預算,['12716']
審計部高雄市審計處單位決算,['19769']
審計部高雄市審計處單位預算案,['20869']
審計部高雄市審計處會計報告,['19915']
審計部高雄市審計處法定預算,['12717']
廉政專刊,"['87470', '93178', '93182', '93184', '96775']"
政黨、政治團體政治獻金會計報告書,"['128917', '130206']"
政黨、政治團體政治獻金會計報告書(部分政黨補申報),"['128909', '128910', '128911', '128912', '128913', '128914', '128915', '128916']"
會計月報,"['21374', '21387', '21389', '21390', '21391', '21392', '21393', '21717', '23707', '24569', '25323', '27379', '27786', '28646', '30562', '31456', '32170', '33173', '33671', '35548', '37497', '39314', '41350', '43240', '44042', '44931', '45481', '46466']"
村(里)長政治獻金會計報告書(首次申報),['128933']
村(里)長選舉第1次賸餘政治獻金會計報告書,['129511']
法定預算書,"['12325', '26751', '43737']"
直轄市山地原住民區民代表政治獻金會計報告書(首次申報),['128949']
直轄市山地原住民區長政治獻金會計報告書(首次申報),['128950']
直轄市市長政治獻金會計報告書(首次申報),['128922']
直轄市市長選舉第1次賸餘政治獻金會計報告書,['129506']
直轄市議員政治獻金會計報告書(首次申報),['128923']
直轄市議員選舉第1次賸餘政治獻金會計報告書,['129508']
直轄市議員選舉第4次賸餘政治獻金會計報告書,['129220']
立法委員選舉第3次賸餘政治獻金會計報告書,['129223']
立法委員選舉第4次賸餘政治獻金會計報告書,['129503']
立法委員選舉第5次賸餘政治獻金會計報告書,['129512']
第10屆立法委員選舉政治獻金會計報告書(首次申報),['129495']
第15任總統、副總統選舉政治獻金會計報告書(首次申報),['129494']
第17屆花蓮縣花蓮市市長補選第3次賸餘政治獻金會計報告書,['129224']
第17屆花蓮縣花蓮市市長補選第4次賸餘政治獻金會計報告書,['129505']
第18屆新竹縣竹東鎮鎮長補選政治獻金會計報告書(首次申報),['129497']
第18屆花蓮縣豐濱鄉鄉長補選政治獻金會計報告書(首次申報),['129499']
第19屆花蓮縣議員補選政治獻金會計報告書(首次申報),['129496']
第3屆新北市三重區光正里里長補選政治獻金會計報告書(首次申報),['129231']
第3屆高雄市苓雅區林靖里里長補選政治獻金會計報告書(首次申報),['129498']
第9屆彰化縣立法委員補選政治獻金會計報告書(首次申報),['129228']
第9屆新北市立法委員補選政治獻金會計報告書(首次申報),['129230']
第9屆臺中市立法委員補選政治獻金會計報告書(首次申報),['129226']
第9屆臺北市立法委員補選政治獻金會計報告書(首次申報),['129225']
第9屆臺南市立法委員補選政治獻金會計報告書(首次申報),['129227']
第9屆金門縣立法委員補選政治獻金會計報告書(首次申報),['129229']
縣(市)議員政治獻金會計報告書(首次申報),['128930']
縣(市)議員選舉第1次賸餘政治獻金會計報告書,['129509']
縣(市)議員選舉第4次賸餘政治獻金會計報告書,['129221']
縣(市)議員選舉第5次賸餘政治獻金會計報告書,['129500']
縣(市)長政治獻金會計報告書(首次申報),['128921']
縣(市)長選舉第4次賸餘政治獻金會計報告書,['129219']
總統、副總統選舉第3次賸餘政治獻金會計報告書,['129222']
總統、副總統選舉第4次賸餘政治獻金會計報告書,['129502']
鄉(鎮、市)民代表政治獻金會計報告書(首次申報),['128932']
鄉(鎮、市)長政治獻金會計報告書(首次申報),['128931']
鄉(鎮、市)長選舉第1次賸餘政治獻金會計報告書,['129510']
鑒察院會計月報,['42903']
